Epoch nr. 131, avg train loss: 8796.267614746093, avg validation loss: 5198.4443359375
Epoch nr. 132, avg train loss: 8949.878381347657, avg validation loss: 5167.72412109375
Epoch nr. 133, avg train loss: 9082.300659179688, avg validation loss: 4995.8486328125
Epoch nr. 134, avg train loss: 22957.986254882813, avg validation loss: 5172.02978515625
Epoch nr. 135, avg train loss: 8035.512353515625, avg validation loss: 5037.7890625
Epoch nr. 136, avg train loss: 7945.8727355957035, avg validation loss: 5126.95751953125
Epoch nr. 137, avg train loss: 8999.103967285157, avg validation loss: 5150.41748046875
Epoch nr. 138, avg train loss: 7803.348229980469, avg validation loss: 5178.34912109375
Epoch nr. 139, avg train loss: 7839.309655761719, avg validation loss: 5325.48486328125
Early Stopping
Finished training! Avg train loss: 93402.89770152498; Avg val loss: 8460.147160775321
